method,phase,run,time_sec
dbc_docs,closed,1,3.7157883330000914
dbc_docs,closed,2,3.615540165999846
dbc_docs,closed,3,4.087215166997339
dbc_docs,closed,4,3.5835944170030416
dbc_docs,closed,5,4.094864915998187
dbc_docs,closed,6,3.7012262089992873
dbc_docs,closed,7,4.094532499999332
dbc_docs,closed,8,3.878793958996539
dbc_docs,closed,9,3.8866920410000603
dbc_docs,closed,10,3.3947122500030673
dbc_docs,closed,11,3.8196674169957987
dbc_docs,closed,12,3.9474480420030886
dbc_docs,closed,13,3.7880327500024578
dbc_docs,closed,14,3.454042791003303
dbc_docs,closed,15,3.811644375004107
dbc_docs,closed,16,3.666781957996136
dbc_docs,closed,17,3.5716566249975585
dbc_docs,closed,18,3.810803708001913
dbc_docs,closed,19,3.3477487919954
dbc_docs,closed,20,3.530773999998928
dbc_docs,closed,21,3.3001240419980604
dbc_docs,closed,22,3.860049582995998
dbc_docs,closed,23,3.370557041998836
dbc_docs,closed,24,3.284593374999531
dbc_docs,closed,25,3.686770833999617
dbc_docs,closed,26,3.304785375003121
dbc_docs,closed,27,3.452874749993498
dbc_docs,closed,28,3.590530375004164
dbc_docs,closed,29,3.473985292002908
dbc_docs,closed,30,3.511710499995388
pl_direct_con,closed,1,3.619436625005619
pl_direct_con,closed,2,3.3252262090027216
pl_direct_con,closed,3,3.3492970830047852
pl_direct_con,closed,4,3.5781480000005104
pl_direct_con,closed,5,3.5839292910022778
pl_direct_con,closed,6,3.4123329579961137
pl_direct_con,closed,7,3.4269526670032064
pl_direct_con,closed,8,3.8024952090054285
pl_direct_con,closed,9,3.281858166003076
pl_direct_con,closed,10,3.3389170419977745
pl_direct_con,closed,11,3.4298883750016103
pl_direct_con,closed,12,3.3668530829963856
pl_direct_con,closed,13,3.6496933750022436
pl_direct_con,closed,14,3.3094875829992816
pl_direct_con,closed,15,3.3844160000007832
pl_direct_con,closed,16,3.4751662080016104
pl_direct_con,closed,17,3.9513255420024507
pl_direct_con,closed,18,3.615110665996326
pl_direct_con,closed,19,3.3738343750010245
pl_direct_con,closed,20,3.611291749999509
pl_direct_con,closed,21,3.3427542080025887
pl_direct_con,closed,22,3.712961625002208
pl_direct_con,closed,23,3.4302268750034273
pl_direct_con,closed,24,3.43766366699856
pl_direct_con,closed,25,3.110159667005064
pl_direct_con,closed,26,3.640260207997926
